
id_venta;id_prod;id_cliente ;id_territorio;cod_pago ;id_vendedor ;fecha_venta;fecha_entrega;fecha_pago ;valor_unidad;cantidad ;costos _directos ;costos_indirectos 
71;56;201;4;102;26;25 09 2019;20 10 2019;11 11 2019;96;3;115,2;69,12
72;76;312;10;102;84;18 02 2019;6 03 2019;3 04 2019;933;116;54114;21645,6
73;32;61;7;105;17;22 08 2018;17 09 2018;30 09 2018;25;32;320;192
74;90;301;9;106;76;21 01 2018;26 01 2018;2 02 2018;167;14;935,2;467,6
75;5;233;14;103;72;24 01 2019;30 01 2019;3 02 2019;467;91;21248,5;12749,1
76;43;329;20;103;19;23 11 2018;30 11 2018;19 12 2018;927;102;37821,6;22692,96
77;22;37;17;104;29;8 04 2019;4 05 2019;13 05 2019;1000;58;23200;11600
78;6;130;1;104;44;10 06 2019;17 06 2019;16 07 2019;928;90;33408;13363,2
79;91;98;6;102;51;9 08 2018;18 08 2018;4 09 2018;851;110;46805;28083
80;15;234;7;106;7;7 08 2018;17 08 2018;30 08 2018;617;54;16659;9995,4
81;65;331;20;106;75;15 07 2019;23 07 2019;9 08 2019;368;24;4416;2208
82;89;152;19;101;60;8 09 2018;20 09 2018;1 10 2018;799;75;23970;14382
83;84;172;5;105;3;28 07 2018;1 08 2018;31 08 2018;823;50;16460;9876
84;63;170;1;102;38;31 01 2019;28 02 2019;17 03 2019;96;67;2572,8;1029,12
85;78;146;8;104;41;21 04 2019;1 05 2019;8 05 2019;251;67;6726,8;4036,08
86;46;191;14;101;82;29 07 2019;5 08 2019;17 08 2019;159;27;2146,5;1073,25
87;92;227;18;102;10;11 12 2018;14 12 2018;22 12 2018;267;88;9398,4;5639,04
88;63;121;8;105;11;14 01 2019;10 02 2019;5 03 2019;836;46;19228;9614
89;43;36;9;102;65;27 02 2019;16 03 2019;3 04 2019;695;84;29190;14595
90;90;91;7;106;2;7 04 2018;1 05 2018;30 05 2018;376;103;19364;11618,4
91;53;180;14;102;6;22 02 2019;24 02 2019;24 03 2019;473;22;4162,4;2497,44
92;62;6;13;105;31;18 06 2019;7 07 2019;31 07 2019;258;59;7611;3044,4
93;29;100;6;105;74;12 11 2019;1 12 2019;24 12 2019;148;88;6512;3907,2
94;75;216;10;101;65;10 03 2018;30 03 2018;14 04 2018;318;101;12847,2;7708,32
95;1;31;20;103;17;30 10 2018;12 11 2018;24 11 2018;38;108;2052;820,8
96;41;323;17;105;54;23 02 2019;18 03 2019;26 03 2019;82;75;3075;1845
97;74;248;13;103;74;8 12 2019;28 12 2019;11 01 2020;568;25;5680;2840
98;34;313;6;103;94;30 04 2018;18 05 2018;12 06 2018;988;35;13832;5532,8
99;32;179;8;102;62;7 03 2019;2 04 2019;30 04 2019;669;106;35457;14182,8
100;43;303;1;106;6;4 12 2019;26 12 2019;18 01 2020;920;116;42688;21344
101;95;268;10;101;58;10 07 2018;2 08 2018;30 08 2018;506;73;14775,2;8865,12
102;94;154;15;104;104;29 12 2018;30 12 2018;27 01 2019;438;113;19797,6;7919,04
103;61;196;2;105;79;24 12 2018;9 01 2019;3 02 2019;99;60;2970;1782
104;89;296;4;101;14;2 03 2018;13 03 2018;10 04 2018;422;110;23210;9284
105;82;265;7;105;65;20 05 2019;20 05 2019;4 06 2019;757;43;13020,4;5208,16
106;41;30;10;102;87;19 11 2019;20 11 2019;13 12 2019;243;108;13122;6561
107;12;100;1;106;67;9 05 2018;3 06 2018;6 06 2018;513;6;1539;923,4
108;35;283;9;103;37;24 08 2018;20 09 2018;29 09 2018;213;100;8520;4260
109;88;322;16;101;9;28 09 2018;14 10 2018;11 11 2018;664;104;34528;17264
110;56;186;13;103;81;31 03 2018;23 04 2018;15 05 2018;365;81;11826;5913
111;46;208;17;103;12;13 09 2018;13 09 2018;1 10 2018;844;95;32072;19243,2
112;60;315;4;104;2;23 03 2018;24 03 2018;12 04 2018;303;41;6211,5;3726,9
113;91;203;1;104;69;16 10 2018;13 11 2018;2 12 2018;199;113;11243,5;6746,1
114;61;69;17;101;52;10 11 2018;2 12 2018;19 12 2018;439;52;9131,2;4565,6
115;90;299;9;102;100;26 09 2019;20 10 2019;20 10 2019;442;15;2652;1326
116;44;28;19;101;97;23 02 2018;6 03 2018;30 03 2018;596;97;23124,8;13874,88
117;65;143;6;102;84;22 01 2018;24 01 2018;22 02 2018;24;44;422,4;253,44
118;74;305;14;101;43;14 05 2019;30 05 2019;11 06 2019;644;30;9660;3864
119;37;6;4;105;7;23 08 2018;20 09 2018;4 10 2018;604;109;32918;16459
120;22;198;2;102;75;20 03 2018;18 04 2018;12 05 2018;198;54;4276,8;2566,08
121;27;225;17;105;37;17 06 2018;7 07 2018;11 07 2018;829;109;45180,5;18072,2
122;88;228;17;104;3;18 11 2018;29 11 2018;5 12 2018;86;92;3164,8;1265,92
123;79;290;1;102;54;24 05 2018;26 05 2018;16 06 2018;964;106;51092;25546
124;14;128;9;101;9;17 06 2019;8 07 2019;23 07 2019;568;20;5680;3408
125;23;129;15;101;14;25 04 2019;20 05 2019;24 05 2019;228;55;5016;2006,4
126;44;47;20;104;21;4 08 2019;10 08 2019;29 08 2019;474;5;1185;711
127;89;45;17;103;48;15 11 2018;10 12 2018;8 01 2019;340;112;19040;9520
128;78;55;9;101;88;3 01 2019;25 01 2019;8 02 2019;424;32;5427,2;2170,88
129;7;139;2;106;5;24 08 2019;15 09 2019;9 10 2019;828;88;36432;21859,2
130;53;121;9;102;34;14 12 2019;11 01 2020;23 01 2020;919;9;3308,4;1323,36
131;7;31;14;103;58;5 01 2018;19 01 2018;25 01 2018;586;93;21799,2;8719,68
132;17;192;18;106;81;17 02 2018;9 03 2018;14 03 2018;514;32;8224;3289,6
133;5;255;6;103;36;17 11 2018;23 11 2018;1 12 2018;849;35;11886;7131,6
134;47;326;11;105;82;19 08 2018;14 09 2018;27 09 2018;524;96;25152;12576
135;88;248;17;103;35;8 01 2019;7 02 2019;4 03 2019;225;60;5400;2160
136;45;145;17;104;10;4 02 2018;19 02 2018;21 03 2018;408;29;4732,8;2366,4
137;52;42;14;103;3;6 08 2018;23 08 2018;3 09 2018;601;74;22237;8894,8
138;23;86;13;101;80;15 07 2019;11 08 2019;5 09 2019;433;47;8140,4;3256,16
139;95;180;16;106;61;18 10 2019;7 11 2019;30 11 2019;246;9;885,6;442,8
140;17;190;10;102;61;23 07 2019;26 07 2019;18 08 2019;293;17;1992,4;996,2
141;26;110;9;104;70;5 10 2018;30 10 2018;19 11 2018;476;96;18278,4;9139,2
142;63;131;7;105;98;15 02 2019;7 03 2019;30 03 2019;459;52;11934;5967
143;9;98;13;101;51;10 02 2018;21 02 2018;24 02 2018;323;115;14858;5943,2
144;96;56;20;106;33;25 01 2018;29 01 2018;8 02 2018;722;83;29963;14981,5
145;52;208;19;103;38;24 11 2019;12 12 2019;25 12 2019;231;37;4273,5;2136,75
146;12;250;1;102;88;3 08 2018;13 08 2018;17 08 2018;533;28;5969,6;3581,76
147;53;144;8;101;2;19 01 2018;16 02 2018;8 03 2018;564;107;24139,2;9655,68
148;67;139;16;104;93;15 08 2019;2 09 2019;10 09 2019;141;35;1974;1184,4
149;69;154;15;103;44;6 08 2018;19 08 2018;30 08 2018;842;78;26270,4;10508,16
150;16;57;9;102;84;7 09 2019;14 09 2019;6 10 2019;372;102;15177,6;9106,56
151;13;110;19;106;3;13 01 2018;17 01 2018;8 02 2018;351;93;16321,5;8160,75
152;20;204;5;106;86;16 12 2019;31 12 2019;7 01 2020;209;27;2821,5;1128,6
153;26;276;15;105;36;29 12 2019;30 12 2019;27 01 2020;888;73;32412;12964,8
154;4;151;5;101;53;4 12 2018;22 12 2018;16 01 2019;966;34;16422;9853,2
155;88;251;14;102;43;16 06 2018;12 07 2018;7 08 2018;31;50;775;310
156;40;91;12;102;80;16 10 2019;5 11 2019;4 12 2019;138;40;2208;883,2
157;34;143;18;106;2;24 11 2018;25 11 2018;10 12 2018;817;29;11846,5;5923,25
158;60;294;7;104;72;3 11 2019;17 11 2019;17 11 2019;210;40;3360;1680
159;21;154;10;106;90;29 05 2019;2 06 2019;13 06 2019;41;21;344,4;206,64
160;24;8;11;102;13;15 09 2018;29 09 2018;26 10 2018;346;18;3114;1557
161;3;302;2;104;65;15 03 2019;18 03 2019;23 03 2019;654;5;1635;817,5
162;68;30;18;106;93;14 02 2018;18 02 2018;1 03 2018;498;85;16932;10159,2
163;25;128;17;101;12;28 07 2019;1 08 2019;25 08 2019;75;75;2250;1350
164;48;291;4;101;15;29 10 2018;8 11 2018;28 11 2018;194;50;3880;1940
165;36;248;13;106;76;13 04 2018;19 04 2018;11 05 2018;987;103;40664,4;24398,64
166;27;252;20;101;47;20 05 2019;1 06 2019;4 06 2019;293;108;15822;7911
167;75;17;8;103;29;3 11 2019;15 11 2019;6 12 2019;834;79;32943;16471,5
168;12;20;9;103;47;15 06 2018;25 06 2018;27 06 2018;255;52;5304;3182,4
169;3;87;9;106;55;14 11 2018;23 11 2018;2 12 2018;931;64;29792;11916,8
170;47;73;1;103;65;5 07 2019;16 07 2019;28 07 2019;601;5;1202;721,2
171;80;160;15;104;37;29 10 2018;20 11 2018;15 12 2018;886;45;19935;11961
172;17;81;1;105;5;26 12 2019;3 01 2020;17 01 2020;933;34;12688,8;6344,4
173;74;244;7;106;22;31 07 2018;19 08 2018;8 09 2018;503;74;14888,8;5955,52
174;93;177;6;101;17;19 05 2018;19 05 2018;3 06 2018;767;5;1534;767
175;80;197;16;106;73;3 08 2018;10 08 2018;21 08 2018;385;81;12474;4989,6
176;34;319;15;104;16;16 05 2018;22 05 2018;30 05 2018;993;52;20654,4;12392,64
177;95;142;18;104;39;5 07 2019;28 07 2019;2 08 2019;364;76;13832;6916
178;36;152;15;106;74;20 07 2018;20 07 2018;29 07 2018;727;87;31624,5;12649,8
179;8;86;14;105;65;1 09 2019;22 09 2019;4 10 2019;682;78;21278,4;8511,36
180;75;284;7;104;64;22 10 2019;20 11 2019;24 11 2019;948;4;1516,8;910,08
181;84;218;5;104;100;3 10 2018;13 10 2018;7 11 2018;543;34;9231;3692,4
182;7;275;6;102;63;24 04 2018;20 05 2018;12 06 2018;194;100;7760;3880
183;20;132;10;103;94;18 08 2018;5 09 2018;5 09 2018;854;114;48678;29206,8
184;16;69;15;102;4;24 02 2018;6 03 2018;20 03 2018;477;96;18316,8;7326,72
185;15;209;17;103;16;7 05 2019;8 05 2019;19 05 2019;901;57;25678,5;12839,25
186;64;171;13;105;80;13 07 2018;13 07 2018;23 07 2018;794;37;11751,2;4700,48
187;52;62;17;103;33;12 09 2019;21 09 2019;10 10 2019;605;16;4840;2904
188;41;254;20;105;56;12 07 2018;28 07 2018;16 08 2018;426;23;3919,2;1567,68
189;40;155;5;104;80;29 01 2018;12 02 2018;21 02 2018;591;90;26595;10638
190;24;59;3;102;99;23 01 2019;11 02 2019;14 02 2019;971;71;27576,4;11030,56
191;44;264;14;105;47;27 07 2019;19 08 2019;21 08 2019;416;72;14976;7488
192;80;163;6;102;57;5 01 2018;21 01 2018;14 02 2018;916;15;5496;2198,4
193;65;41;9;105;56;12 01 2018;18 01 2018;28 01 2018;924;99;36590,4;14636,16
194;47;269;2;101;71;23 01 2018;30 01 2018;21 02 2018;996;81;32270,4;16135,2
195;48;239;18;102;105;19 07 2019;14 08 2019;6 09 2019;185;51;3774;2264,4
196;84;202;6;102;33;18 05 2019;10 06 2019;2 07 2019;770;60;18480;11088
197;17;244;6;103;56;6 06 2018;16 06 2018;10 07 2018;608;57;17328;10396,8
198;4;268;5;105;59;4 12 2019;12 12 2019;26 12 2019;724;81;23457,6;14074,56
199;7;252;7;106;91;12 08 2019;5 09 2019;5 10 2019;34;39;663;397,8
200;74;289;5;106;65;27 12 2019;5 01 2020;4 02 2020;480;115;22080;8832
201;21;142;4;103;70;30 12 2019;6 01 2020;1 02 2020;142;103;7313;3656,5
202;4;67;15;106;52;23 06 2019;7 07 2019;15 07 2019;665;91;30257,5;18154,5
203;29;165;11;101;59;29 11 2019;29 12 2019;26 01 2020;131;105;5502;2751
204;36;34;8;103;22;26 12 2019;8 01 2020;23 01 2020;159;54;3434,4;1373,76
205;94;45;3;102;85;25 09 2018;4 10 2018;3 11 2018;641;89;22819,6;13691,76
206;1;274;7;101;21;27 07 2019;14 08 2019;31 08 2019;288;96;13824;5529,6
207;57;157;12;104;48;5 03 2018;23 03 2018;1 04 2018;478;81;19359;11615,4
208;33;293;2;104;84;30 05 2019;8 06 2019;5 07 2019;620;53;16430;8215
209;25;127;18;105;17;6 12 2019;6 12 2019;8 12 2019;541;58;15689;7844,5
210;5;119;14;105;102;11 01 2018;20 01 2018;28 01 2018;835;89;37157,5;18578,75
211;66;89;17;106;13;27 07 2019;3 08 2019;1 09 2019;132;42;2772;1108,8
212;83;127;3;103;15;23 03 2019;16 04 2019;15 05 2019;91;19;864,5;432,25
213;4;62;7;101;65;27 10 2019;17 11 2019;22 11 2019;932;27;10065,6;5032,8
214;22;115;15;106;87;19 07 2019;31 07 2019;25 08 2019;911;24;10932;6559,2
215;24;173;17;103;35;15 04 2018;19 04 2018;19 04 2018;754;114;42978;17191,2
216;40;52;8;101;12;31 12 2018;3 01 2019;5 01 2019;438;115;20148;8059,2
217;9;151;1;101;87;13 08 2018;12 09 2018;24 09 2018;327;66;8632,8;5179,68
218;74;102;20;102;67;13 07 2019;15 07 2019;2 08 2019;144;84;6048;3628,8
219;96;233;9;102;28;10 03 2019;18 03 2019;15 04 2019;853;7;2388,4;1433,04
220;9;84;4;105;82;1 05 2019;16 05 2019;24 05 2019;14;48;336;168
221;33;183;20;106;63;2 07 2018;14 07 2018;6 08 2018;372;54;8035,2;4017,6
222;93;272;12;103;49;31 08 2018;29 09 2018;10 10 2018;756;18;6804;2721,6
223;28;101;11;103;88;11 04 2019;11 05 2019;10 06 2019;10;40;200;80
224;93;34;17;105;82;3 12 2018;12 12 2018;29 12 2018;727;105;30534;15267
225;2;273;12;104;1;8 10 2018;15 10 2018;16 10 2018;141;107;7543,5;4526,1
226;35;293;6;104;81;29 03 2018;27 04 2018;3 05 2018;919;13;4778,8;2867,28
227;78;1;2;106;91;10 10 2019;11 10 2019;1 11 2019;361;76;13718;8230,8
228;57;219;14;105;1;3 12 2018;14 12 2018;11 01 2019;754;23;8671;4335,5
229;33;298;14;104;91;1 06 2018;1 07 2018;10 07 2018;244;23;2806;1403
230;61;208;11;103;28;8 12 2018;18 12 2018;21 12 2018;975;8;3120;1872
231;13;190;12;106;88;6 05 2018;19 05 2018;23 05 2018;504;27;5443,2;2721,6
232;6;135;15;103;46;28 02 2018;20 03 2018;19 04 2018;447;80;14304;5721,6
233;15;179;19;105;95;4 05 2018;15 05 2018;27 05 2018;212;50;4240;2120
234;54;80;6;103;18;3 01 2018;12 01 2018;13 01 2018;139;40;2780;1390
235;2;30;2;101;17;13 07 2018;30 07 2018;2 08 2018;362;1;144,8;72,4
236;7;204;11;104;87;26 09 2019;27 09 2019;14 10 2019;481;16;3848;1539,2
237;74;254;20;101;54;1 08 2018;13 08 2018;21 08 2018;691;41;14165,5;7082,75
238;59;221;13;102;26;28 01 2018;11 02 2018;22 02 2018;428;14;2996;1498
239;47;4;15;102;6;19 10 2018;27 10 2018;26 11 2018;265;107;14177,5;5671
240;13;81;9;105;74;8 05 2018;7 06 2018;16 06 2018;202;34;2747,2;1648,32
241;1;193;18;105;26;16 05 2019;2 06 2019;16 06 2019;555;79;21922,5;8769
242;88;292;15;104;59;4 02 2019;4 03 2019;16 03 2019;765;42;16065;6426
243;24;243;15;105;22;6 03 2019;20 03 2019;11 04 2019;850;50;17000;10200
244;64;248;18;104;97;18 02 2018;19 03 2018;25 03 2018;495;63;12474;6237
245;8;109;3;101;33;23 08 2018;20 09 2018;30 09 2018;283;109;15423,5;7711,75
246;39;146;8;101;97;24 07 2019;17 08 2019;21 08 2019;368;33;4857,6;1943,04
247;81;230;6;102;4;7 10 2018;13 10 2018;22 10 2018;569;13;3698,5;1849,25
248;16;12;7;106;85;30 07 2019;5 08 2019;13 08 2019;248;71;8804;3521,6
249;21;1;3;101;28;12 04 2018;18 04 2018;29 04 2018;258;106;10939,2;6563,52
250;38;142;17;101;97;15 09 2019;16 09 2019;4 10 2019;440;119;26180;13090
251;17;306;10;105;66;12 10 2019;16 10 2019;10 11 2019;787;81;31873,5;15936,75
252;70;147;12;105;69;17 05 2019;11 06 2019;29 06 2019;372;6;1116;446,4
253;18;229;3;106;64;23 06 2018;9 07 2018;16 07 2018;537;52;13962;6981
254;50;197;2;105;71;9 06 2019;14 06 2019;14 07 2019;64;16;409,6;245,76
255;86;312;12;101;73;9 07 2018;16 07 2018;6 08 2018;313;6;939;563,4
256;6;90;6;105;100;16 06 2018;7 07 2018;23 07 2018;354;5;708;283,2
257;32;43;13;106;98;3 12 2019;29 12 2019;16 01 2020;784;12;3763,2;2257,92
258;59;77;7;105;45;21 07 2019;22 07 2019;14 08 2019;801;107;42853,5;17141,4
259;9;262;13;102;48;8 10 2018;2 11 2018;29 11 2018;962;56;26936;16161,6
260;49;272;20;106;20;3 07 2019;22 07 2019;11 08 2019;285;9;1282,5;769,5
261;20;260;1;103;38;9 01 2019;1 02 2019;26 02 2019;219;24;2628;1314
262;96;21;3;105;68;28 11 2019;13 12 2019;18 12 2019;114;53;3021;1510,5
263;41;179;14;101;36;4 03 2019;13 03 2019;21 03 2019;769;89;34220,5;17110,25
264;13;93;13;102;62;8 02 2018;20 02 2018;2 03 2018;362;56;10136;6081,6
265;70;111;17;105;95;21 09 2018;18 10 2018;10 11 2018;562;66;14836,8;8902,08
266;9;244;6;105;55;29 08 2018;25 09 2018;29 09 2018;876;100;43800;21900
267;25;200;16;106;96;8 01 2019;15 01 2019;6 02 2019;233;91;8481,2;3392,48
268;71;149;10;105;75;14 01 2019;8 02 2019;10 02 2019;119;12;714;357
269;58;184;11;105;44;6 04 2018;19 04 2018;26 04 2018;49;107;2097,2;838,88
270;3;70;15;106;104;27 12 2018;31 12 2018;23 01 2019;538;50;13450;8070
271;45;333;18;103;95;22 07 2019;16 08 2019;29 08 2019;239;37;3537,2;1768,6
272;90;207;3;104;101;21 12 2019;24 12 2019;5 01 2020;192;24;1843,2;921,6
273;5;55;7;106;50;1 07 2019;20 07 2019;30 07 2019;221;23;2033,2;1016,6
274;62;277;13;106;11;9 09 2019;4 10 2019;5 10 2019;398;47;9353;3741,2
275;71;316;10;105;8;16 01 2018;9 02 2018;13 02 2018;508;119;24180,8;14508,48
276;81;166;7;101;75;5 11 2018;24 11 2018;8 12 2018;852;40;17040;6816
277;19;170;5;104;53;22 05 2018;4 06 2018;21 06 2018;330;48;6336;3801,6
278;43;280;1;101;103;25 10 2019;14 11 2019;11 12 2019;277;49;6786,5;4071,9
279;42;236;16;105;90;12 03 2018;28 03 2018;10 04 2018;294;108;12700,8;6350,4
280;67;190;6;105;83;26 07 2018;21 08 2018;9 09 2018;440;5;880;528
281;12;67;19;104;23;14 05 2019;25 05 2019;19 06 2019;820;61;20008;12004,8
282;10;263;15;101;20;13 05 2018;3 06 2018;16 06 2018;152;75;4560;2736
283;24;8;1;103;28;23 03 2019;4 04 2019;15 04 2019;167;75;6262,5;2505
284;6;328;13;105;99;22 10 2018;18 11 2018;17 12 2018;662;82;21713,6;13028,16
285;33;273;12;105;42;6 03 2019;28 03 2019;25 04 2019;750;88;33000;16500
286;96;251;14;103;31;16 06 2019;16 07 2019;2 08 2019;142;80;5680;3408
287;39;330;7;106;55;15 02 2019;17 02 2019;16 03 2019;683;86;23495,2;9398,08
288;4;150;5;101;13;22 01 2018;27 01 2018;29 01 2018;253;82;8298,4;4149,2
289;25;25;1;103;59;26 06 2018;20 07 2018;20 07 2018;446;78;13915,2;8349,12
290;35;209;17;104;37;23 11 2018;14 12 2018;8 01 2019;68;3;102;61,2
291;35;320;12;102;48;1 05 2018;18 05 2018;26 05 2018;723;110;31812;15906
292;54;145;13;105;102;2 11 2018;6 11 2018;12 11 2018;703;39;13708,5;8225,1
293;47;202;20;104;20;1 11 2019;15 11 2019;4 12 2019;200;27;2700;1620
294;66;157;13;106;10;21 07 2019;4 08 2019;30 08 2019;959;77;29537,2;17722,32
295;28;286;12;106;67;21 06 2019;25 06 2019;19 07 2019;619;75;23212,5;11606,25
296;11;220;3;106;3;14 05 2018;12 06 2018;18 06 2018;105;95;3990;1596
297;68;46;12;102;10;14 06 2019;11 07 2019;15 07 2019;557;69;15373,2;6149,28
298;58;137;19;104;57;23 12 2018;21 01 2019;4 02 2019;83;113;3751,6;2250,96
299;14;267;20;105;26;2 02 2019;4 02 2019;7 02 2019;471;86;20253;10126,5
300;37;238;7;105;39;15 02 2019;12 03 2019;16 03 2019;77;47;1809,5;723,8
301;10;160;13;106;97;9 10 2019;29 10 2019;25 11 2019;797;26;10361;6216,6
302;30;107;6;105;3;11 03 2019;9 04 2019;23 04 2019;554;13;3601;1800,5
303;16;16;11;101;50;28 11 2019;19 12 2019;29 12 2019;661;29;7667,6;3833,8
304;51;103;15;103;4;20 04 2019;3 05 2019;18 05 2019;947;53;25095,5;15057,3
305;96;291;8;104;85;22 11 2019;21 12 2019;31 12 2019;339;49;6644,4;2657,76
306;40;109;12;102;21;16 04 2018;15 05 2018;14 06 2018;284;19;2158,4;863,36
